CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
16665171,S9,MSME,30516.289345,0.0,970000,0.0,1000516.289345,56286.0,333352.666665,56286.0,333352.666665,,,-102.99999
16706664,S9,MSME,368167.231017,0.0,824000,0.0,1192167.231017,993427.0,1116538.066667,993427.0,1116538.066667,,,-90.163492
16712999,S9,MSME,231310.365979,0.0,777000,0.0,1008310.365979,980660.0,1088373.966666,980660.0,1088373.966666,,,-94.514814
16310592,S9,MSME,1446356.271854,0.0,1791396,0.0,3237752.271854,33469235.0,22265020.633332,32271891.0,21067676.633332,1197344.0,1197344.0,-14.795514
19355045,S9,MSME,421741.585368,0.0,679856,0.0,1101597.585368,10185655.0,14059579.800001,10185655.0,14059579.800001,,,-31.289672
19324521,S9,NONE,1613703.756508,0.0,0,0.0,1613703.756508,24330462.0,24328541.233333,24330462.0,24328541.233333,,,-11.512507
19833416,S9,NONE,238762.427439,0.0,510000,0.0,748762.427439,4386.0,96786.0,4386.0,96786.0,,,-97.90571
19807773,S9,NONE,700749.975129,0.0,1643850,0.0,2344599.975129,35453.0,21198698.899999,35453.0,21198698.899999,,,-43.318211
19820339,S9,SME,23272365.122588,88553835.616542,26010000,0.0,137836200.73913,591784890.0,1122256580.966666,591784890.0,1122256580.966666,,,91.820522
14005426,S9,MSME,11339593.533678,0.0,3036538,0.0,14376131.533678,63351560.0,145062202.899999,63351560.0,145062202.899999,,,17.612188
13795779,S9,MSME,1890126.15601,0.0,594000,0.0,2484126.15601,391882959.0,196027011.566666,391882959.0,196027011.566666,,,39.935666
13784207,S9,SME,6697575.00566,0.0,1887576,0.0,8585151.00566,15701892.0,129414268.933333,14697662.0,128414127.933333,1004230.0,1000141.0,9.195839
13769433,S9,MSME,104050.090479,0.0,5995656,22987960.1,29087666.190479,124360.0,101526.666667,124360.0,101526.666667,,,-65.379182
15347926,S9,MSME,490842.938207,0.0,747000,0.0,1237842.938207,24766370.0,26047957.300002,24766370.0,26047957.300002,,,-20.310961
19386926,S9,MSME,20453.586276,24668753.42466,890000,0.0,25579207.010936,1036386.0,1036386.0,36386.0,36386.0,1000000.0,1000000.0,-98.611015
20197960,S9,SME,597014.712467,47019726.027504,3325000,0.0,50941740.739971,869555.0,871286.466668,869555.0,871286.466668,,,-75.878571
20226616,S9,MSME,1408877.872152,0.0,2769848,14605464.0,18784189.872152,19789651.0,19838674.366667,19789651.0,19838674.366667,,,1.966153
54080,S9,USME,28823.224591,0.0,534000,0.0,562823.224591,825652.0,825358.666667,825652.0,825358.666667,,,-108.859706
19608405,S9,SME,1033371.194954,86867123.287462,70109800,0.0,158010294.482416,1491131.0,23833317.266669,1491131.0,23833317.266669,,,-24.389273
18912448,S9,SME,2971603.86252,283683632.876756,22625454,0.0,309280690.739276,1372346366.0,74104043.466668,1372346366.0,74104043.466668,,,52.695868
20032007,S9,NONE,2833807.473534,0.0,99000,0.0,2932807.473534,46195034.0,64563231.033332,46195034.0,64563231.033332,,,-6.576666
20070737,S9,NONE,460001.567014,0.0,988000,0.0,1448001.567014,66927.0,7649027.166668,66927.0,7649027.166668,,,-58.517386
18945918,S9,NONE,14564708.202124,0.0,0,0.0,14564708.202124,69371609.0,69613185.900001,68371609.0,68613185.900001,1000000.0,1000000.0,4.182319
20074952,S9,NONE,324387.841024,0.0,898000,0.0,1222387.841024,1108550.0,1517674.766666,1108550.0,1517674.766666,,,-85.60471
20050977,S9,MSME,1020985.759166,0.0,396000,0.0,1416985.759166,846147.0,59273486.6,846147.0,59273486.6,,,-48.158066
11234130,S9,MSME,1572505.803204,0.0,396000,0.0,1968505.803204,62371013.0,35797371.1,62371013.0,35797371.1,,,-8.627352
