A,B,C,D,LABEL
2.0,1502500000.0,1502500000.0,90000.0,0
284.0,8294804349.0,12833801637.0,77032275.0,0
,28337064000.0,,32786096.0,0
,,,559848498.0,0
,301871288128.0,,121511611.0,0
,12411895360.0,,1377628.0,0
5.0,11502310.0,21652310.0,2225390.0,0
,,,1016305.0,0
19.0,,2838284060.0,,0
23.0,638211684.0,670211684.0,1043305.0,0
,1862400231185.0,,106156220.0,0
172.0,6307303306.0,9442367809.0,915848753.0,0
,,,2697669.0,0
,5160000000.0,,104638967.0,0
,151725000000.0,,,0
,,,1286972531.0,0
1.0,,100000.0,27570564.0,0
31.0,3872485000.0,8295054999.0,113294063.0,0
,,,,0
,20250000000.0,,253636541.0,0
,1610000000.0,,232687.0,0
,,,282978103.0,0
,,,4272.0,0
,6049851990.0,,1447700.0,0
,4338000000.0,,90940.0,0
,4800000000.0,,273032753.0,0
,3000000000.0,,,0
,100000000.0,,143692896.0,0
,,,2557677.9,0
,21206920000.0,,46289475.0,0
,,,267881.0,0
,,,1212199.0,0
,,,32095691.0,0
224.0,22984667623.0,54530649297.0,26025255.0,0
313.0,11201787260.0,21428879235.0,46766670.0,0
2.0,48000000.0,118023100.0,26133529.0,0
,45500000000.0,,499151344.0,0
,,,,0
,,,1112158.0,0
,68609855160.0,,20617532.0,0
,,,486641.0,0
,9981111776.0,,2810364.0,0
,4899850000.0,,26012542.0,0
,,,7648734.0,0
,21444880903425.0,,1135780132.0,0
68.0,1669386690.0,3232570308.0,3585718.0,0
31.0,18138719709.0,36838382244.0,5113318.3,0
,3003471943776.0,,5302432779.0,0
,5252444791175.0,,,0
5.0,,1241890460.0,58703.0,0
,1372043616000.0,,615761226.9,0
44.0,3720500000.0,6273600000.0,485686.0,0
,4889419401564.0,,1954317093.1,0
,,,11477630.0,0
25.0,3386936838.0,5689246659.0,4472521.0,0
,,,59595.0,0
,58800000000.0,,22488849.0,0
1.0,,7183160.0,9527208.0,0
,,,253917279.0,0
17.0,1907811759.0,1963370436.0,1165717.0,0
,1990985616942.0,,1259936810.0,0
1.0,,20000000.0,3180545.0,0
,5154783888.0,,60122.0,0
1.0,1234800000.0,1234800000.0,81195.0,0
50.0,23841577874.0,49180331956.0,6364950.0,0
,,,,0
35.0,6986881489.0,15869811577.0,50540200.0,0
2.0,,1148728250.0,,0
8.0,550949410.0,1147174950.0,1952908.0,0
1.0,3000000.0,3000000.0,1521413.0,0
18.0,867650658.0,1345124054.0,310.0,0
,,,58972.0,0
,,,355644854.0,0
19.0,1198615918.0,1707930933.0,,0
,,,27436200.0,0
143.0,27919981307.0,44591038984.0,,0
,64020000000.0,,16111527.0,0
,,,9556640.0,0
,39330644.0,,0.0,0
,83690018820.0,,4141171.9,0
4.0,540000000.0,1385000000.0,32269312.0,0
,73500000000.0,,,0
,94729024285.0,,21062478.0,0
,,,647756304.0,0
,,,1063285.0,0
,,,154916.0,0
3.0,45000000.0,93000000.0,,0
,29985056625.0,,1529308128.0,0
,,,90146861.0,0
,,,809751375.0,0
,5026949032.0,,401479.0,0
,,,11009.0,0
44.0,3650000000.0,8405000000.0,14022004.0,0
27.0,9062920000.0,22967740000.0,1588765.0,0
,1083523544090.0,,69140907.0,0
,1188641202696.0,,,0
,325000000.0,,64458585.0,0
35.0,32941671.0,59124575.0,1164741.0,0
22.0,1683934038.0,3379185587.0,96825.0,0
5.0,,950000000.0,114290673.0,0
,6753928734.0,,,0
,,,,0
67.0,1238929199.0,12447106248.0,2345303.0,0
,,,,0
762.0,356633530372.0,751683209847.0,30573476037.82,0
,337617000000.0,,154583682.0,0
137.0,12434153152.0,28696944266.0,6175976.0,0
,,,429775395.0,0
,10604000000.0,,182374756.0,0
,,,,0
,197814736575.0,,366209211.0,0
,537249694421.0,,2962449.0,0
7.0,494237525.0,547897417.0,5129975.0,0
,,,173838.0,0
,2104620000.0,,72635006.0,0
6.0,6503842466.0,6503842466.0,2775839.0,0
10.0,2601950754.0,5357330483.0,438044.0,0
,,,,0
,,,5748339.0,0
38.0,3500959600.0,13575620600.0,921153.0,0
296.0,5804697004.0,34681331906.0,12373754.0,0
,,,54570519.0,0
,37800000000.0,,163575037.0,0
,,,3100661.0,0
,,,2220012.0,0
,117448247664.0,,35018053.0,0
,,,16010861.0,0
,,,239645986.0,0
,11703924853554.0,,13830547.0,0
25.0,6132811673.0,7158952366.0,2672939.0,0
,,,1466540.0,0
,90450000000.0,,5878365.0,0
,,,209199.0,0
13.0,4155036536.0,8155036536.0,21989.0,0
,,,655562.0,0
,83931523875.0,,,0
3.0,4463850028.0,4463850028.0,1735541.0,0
,69362131732.0,,25556092.0,0
,,,784600.0,0
,,,45857806.0,0
,4205097332616.0,,,0
,382211825800.0,,302151345.0,0
,192818022040.0,,150656307.0,0
,,,0.0,0
3.0,1901424000.0,3172770100.0,678508427.0,0
,,,54424848.0,0
,104308752.0,,7574095.0,0
,,,42577.0,0
,,,22297456.0,0
5.0,469180000.0,569180000.0,28260366.0,0
,,,32891623.0,0
,,,3201.0,0
,1235740000.0,,26056260.0,0
,8357327397365.0,,,0
1.0,250000.0,250000.0,1027544.0,0
515.0,6140345693.0,9854574399.0,,0
,23169545340.0,,4689745.0,0
,,,984627.0,0
,25114783892.0,,24815119.7,0
,,,1090727.0,0
,,,33129664.0,0
,,,98473.0,0
,,,11493582.0,0
,,,2039605.0,0
,9495815183000.0,,120414430.0,0
6.0,1103920000.0,2197520000.0,712709057.0,0
2.0,4480336633.0,4480336633.0,699264.0,0
,4734726122.0,,15771257.0,0
,20020000000.0,,150790033.0,0
,650000000.0,,1786068.0,0
,,,18468347.0,0
,,,,0
,997074979048.0,,,0
,56696383935.0,,6033518.0,0
3.0,132000000.0,454000000.0,1241292.0,0
,,,40297686.0,0
,4200000.0,,,0
,,,53758350.0,0
,1900000000.0,,56177736.0,0
,39644000000.0,,4341332.0,0
13.0,4000000.0,628297500.0,10366459.0,0
57.0,3510250000.0,7498550000.0,10232608.0,0
14.0,37168114.0,58794714.0,34953199.0,0
,8100000000.0,,11294017.0,0
,30585280000.0,,107223666.0,0
81.0,7016061519.0,10828123441.0,,0
,216686481382.0,,,0
,,,16770313.0,0
,16582500000.0,,146180.0,0
,1650431622492.0,,,0
,,,,0
,,,50132996.0,0
,,,53332.0,0
,,,23168943.0,0
,,,12425153.0,0
62.0,5600493635.0,12360713581.0,146499746.3,0
1.0,41000.0,41000.0,,0
,,,381980.0,0
12.0,4285000000.0,7785000000.0,835823946.0,0
,,,,0
,11349220960.0,,25208039.0,0
2.0,1140554616.0,1140554616.0,65048111.0,0
